Run,TotalUtility,TotalSteps,TotalActions,Agent1Utility,Agent1Steps,Agent1Actions,Agent2Utility,Agent2Steps,Agent2Actions,WasDeadlock
87,1.9400,28,37,0.5200,10,15,1.4200,18,22,SUCCESS
88,1.4600,30,38,-0.0600,6,6,1.5200,24,32,SUCCESS
89,1.7900,25,33,0.0000,0,0,1.7900,25,33,SUCCESS
90,1.9200,30,39,1.3600,20,24,0.5600,10,15,SUCCESS
91,1.7200,34,43,1.2600,22,26,0.4600,12,17,SUCCESS
92,1.6200,36,45,1.2100,23,27,0.4100,13,18,SUCCESS
93,1.6300,43,52,1.2600,22,26,0.3700,21,26,SUCCESS
94,-3.9000,236,245,-3.9100,183,187,0.0100,53,58,SUCCESS
95,1.9000,28,35,0.6300,7,10,1.2700,21,25,SUCCESS
96,1.4800,46,55,0.3700,13,16,1.1100,33,39,SUCCESS
97,1.4100,41,50,1.1000,26,32,0.3100,15,18,SUCCESS
98,1.0300,38,46,-0.0200,2,2,1.0500,36,44,SUCCESS
99,1.1300,36,44,-0.0200,2,2,1.1500,34,42,SUCCESS
100,1.0500,36,44,0.0000,0,0,1.0500,36,44,SUCCESS
